StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,budL,coorsL,bud,cor,guin,hei,stel,blu,pbr,mil,sam,dos,mic,rol,red,mlite,pil,snb,id,PROLIFIC_PID
4/20/21 20:14,4/20/21 20:18,0,109.48.183.122,100,228,1,4/20/21 20:18,R_3j9DebEypoV22dI,,,,,38.63110352,-8.913803101,anonymous,EN,Coors Light,,Pilsner Beer,,O'Hara's Irish Stout,Super Bock,,Stoudts Weizen,Cream Ale,,,,,,Budweiser,Bud Light,German Pilsner,Troegs Pale Ale,601b4c26e9531b5069920cc9,601b4c26e9531b5069920cc9
4/20/21 20:13,4/20/21 20:18,0,187.158.114.29,100,293,1,4/20/21 20:18,R_2P5vGc6p1dljBns,,,,,29.02479553,-111.473999,anonymous,EN,Corona,,Indio,,Modelo ,,,,do not know,,,Coors,Amstel Ultra,Coors Light,Budweiser,,Do not know,Do not know,5f2f10746b2c1c2f3318540a,5f2f10746b2c1c2f3318540a
4/20/21 20:13,4/20/21 20:18,0,82.154.83.176,100,313,1,4/20/21 20:18,R_2drUE1RiZswlWmx,,,,,38.75419617,-9.235900879,anonymous,EN,"didnt like it, and stay away from 'light beers'",i stay away from 'light beers',,,heineken,sierra nevada,,,,budweiser,,,dont like,,corona,never tried,corona,heineken,603e4fff74df2edecbeb21a3,603e4fff74df2edecbeb21a3
4/20/21 20:13,4/20/21 20:18,0,2.81.236.203,100,320,1,4/20/21 20:18,R_2OYWoC8q39QaqHz,,,,,39.82539368,-7.48449707,anonymous,EN,,,,budweiser,,Stella ,heineken,,,,Marzen beers,Corona,Sufferfest Beer,Miller Lite,Sierra Nevada,Rolling Rock,,guiness,602c11c29029ff46f065703d,602c11c29029ff46f065703d
4/20/21 20:13,4/20/21 20:19,0,1.144.105.75,100,320,1,4/20/21 20:19,R_0k6bymU0zYbc7nP,,,,,-33.85980225,151.2114868,anonymous,EN,,,Heineken,Carlton Draught,VB,Tooheys,,,,VB,,,tooheys,,deep creek brewing,Great Northen,Asahi,Stella Artois,5d8c9ddd00980b0019e20c43,5d8c9ddd00980b0019e20c43
4/20/21 20:13,4/20/21 20:19,0,201.108.151.117,100,352,1,4/20/21 20:19,R_1pKgQxb5016kmct,,,,,19.54200745,-96.89579773,anonymous,EN,Tecate,,,,Tecate,Stella Artois,Heineken,Tecate,,,Tecate,Heineken,Tecate,,,,Heineken,Tecate,5fefcbb9bbdf7f348f598fa6,5fefcbb9bbdf7f348f598fa6
4/20/21 20:13,4/20/21 20:19,0,189.217.2.102,100,373,1,4/20/21 20:19,R_1eyq3lp1J6ZcxFM,,,,,19.31190491,-99.17289734,anonymous,EN,,Miller Lite,Coors Light,Bud Light,,Stella Artois,,Hoegaarden,,,,Becks,Coors,Becks,Bud Light,Corona,,,5f0dfc73c4ea870f4a3180ad,5f0dfc73c4ea870f4a3180ad
4/20/21 20:13,4/20/21 20:20,0,176.63.1.78,100,390,1,4/20/21 20:20,R_3MDORiZ6V4I2Y2S,,,,,47.56359863,19.09469604,anonymous,EN,,,,Craft Dark Beer,,Bud,Kozel,Bud Light,,Corona Extra,,Guiness,Baltika,,,Corona Light,Zibert,Duff,607742005232fc3f1caec368,607742005232fc3f1caec368
4/20/21 20:13,4/20/21 20:20,0,187.191.8.242,100,404,1,4/20/21 20:20,R_2pWy7EH5mIl3mI7,,,,,20.63789368,-103.3473969,anonymous,EN,Soda alcohol,,N/A,,,Stella,Heineken,,,,Modelo Negra,Lager,,Bud light?,Corona,N/A,,N/A,5ef67612126bfa36576e1b03,5ef67612126bfa36576e1b03
4/20/21 20:13,4/20/21 20:21,0,80.107.182.255,100,448,1,4/20/21 20:21,R_3htDv5EF6QNF1eM,,,,,37.98420715,23.73530579,anonymous,EN,,Bud Light,Pilsner Urquell,,Guinness,,Miller High Life,,,Stella Artois,Heineken,,,Heineken,,Heineken,Budweiser,Sierra Nevada,6017af4704904aa288fca2bc,6017af4704904aa288fca2bc
4/20/21 20:15,4/20/21 20:21,0,85.242.215.140,100,359,1,4/20/21 20:21,R_uzikJYT5MgnYFIl,,,,,38.72259521,-9.139892578,anonymous,EN,coors,,heineken,presidente ,sagres preta,budweiser,jupiler,schneider,,carlsberg,,,,,corona,,lagunitas,,5fa1ecd6c6bbf126579e9d45,5fa1ecd6c6bbf126579e9d45
4/20/21 20:13,4/20/21 20:21,0,146.199.206.125,100,485,1,4/20/21 20:21,R_2cCnWXkzxjc6aTr,,,,,51.52900696,-0.059997559,anonymous,EN,budwiser,,PBR,pacifico,samuel smith imperial stout,,sol,no idea what it is,budwiser,,modelo,,,no idea what it is,Sol,,,,603aaa84d514746e94bd5562,603aaa84d514746e94bd5562
4/20/21 20:13,4/20/21 20:22,0,187.188.26.80,100,486,1,4/20/21 20:22,R_2pLwwRe6qhbOudB,,,,,17.9776001,-92.92209625,anonymous,EN,Rolling Rock,Michelob Ultra,Bud Light Lime,Miller high life,,,Red Stripe,Pabst Blue Ribbon,Coors Light,Corona Extra,,,,Bud Light,Budweiser,,,,607e3ea107f02bea9dd07c9e,607e3ea107f02bea9dd07c9e
4/20/21 20:13,4/20/21 20:22,0,90.230.218.160,100,548,1,4/20/21 20:22,R_31YEuDDgFmSrQmE,,,,,57.76220703,16.63989258,anonymous,EN,Heiniken.,Stella Artois.,Newcastle.,,,,Becks.,,,,Mariestad.,,Amstel.,Carlsberg,Peroni.,,Zlatopramen.,Melleruds.,5f1fc5b5f0adf01ed9d74ba1,5f1fc5b5f0adf01ed9d74ba1
4/20/21 20:13,4/20/21 20:23,0,188.37.225.234,100,578,1,4/20/21 20:23,R_2ttlBQZxmtcInQI,,,,,41.34559631,-8.469406128,anonymous,EN,,,,,Erdinger,Rolling Rock,Pilsner Urquell,bud light,Blue moon,Corona,,,,Heineken,molson dry,Corona,Stella Artois,,601455dcaa0225431b286303,601455dcaa0225431b286303
4/20/21 20:13,4/20/21 20:25,0,80.246.138.28,100,699,1,4/20/21 20:25,R_wXcBDrhK95U8otH,,,,,32.06660461,34.76519775,anonymous,EN,Heineken ,,,Stella artois,,,Corona extra ,Hefeweizen,Coors light ,Rolling rock,Bud ice,Sol,Busch,,,,,American pale ale,6068d0c6127c0cf03232e2cf,6068d0c6127c0cf03232e2cf
4/20/21 20:17,4/20/21 20:25,0,181.163.42.203,100,472,1,4/20/21 20:25,R_2SlC67Yp9BRQz6g,,,,,-36.71740723,-73.10679626,anonymous,EN,Heineken,PBR,Becker Roja,,Brooklyn's Chocolate Stout,Bud Light,,Goose Island 312,Coors Light,,Michelob Light,Michelob Ultra,Dos Equis Special Lager,,,,,,5c9ab483bc4cea00160dad2d,5c9ab483bc4cea00160dad2d
4/20/21 20:13,4/20/21 20:25,0,189.195.204.91,100,699,1,4/20/21 20:25,R_3rIKn3fZxPulKM9,,,,,21.62159729,-104.8404007,anonymous,EN,Budweisser,,Bud Light,Red Stripe,Modelo Negra,Miller Lite,,Pabst Blue Ribbon,Blue Moon,,,,,,Corona Extra,Heineken,Bohemia,,5f38c9aa0c68ee3f7c72f7b4,5f38c9aa0c68ee3f7c72f7b4
4/20/21 20:35,4/20/21 20:41,0,89.152.2.59,100,307,1,4/20/21 20:41,R_23VjmH9VtRQGtMf,,,,,41.13890076,-8.617706299,anonymous,EN,,Budlight,,,Affligem,,Heineken,Miller Coors,Budweiser,Water,,,,Steam Whistle Pilsner,Molson Stock Ale,Coors Light,Miller Lite,,5ca650f9a8ec860001467dbf,5ca650f9a8ec860001467dbf
