V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,PROLIFIC_PID,Q1,for,hyu,bmw,sub,jee,toy,che,hon,aud,mer,tes,dod,lex,por,vol,fer,nis,maz,lam,ren,vol,id,age,gender,edu,inc,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1dmZQRRnF6WX3IX,Default Response Set,Anonymous,,,98.37.112.184,0,2020-12-16 17:33:08,2020-12-16 17:34:53,1,5f403a4b58e175160201b6e0,1,Chevrolet,,Mercedes Benz,,nothing,Honda,,,,BMW,,Plymoth,Infiniti,,,Masserati,Honda,,,,Saab,5f403a4b58e175160201b6e0,56,1,5,12,37.761795043945,-121.91329956055,-1,
R_3Do6YDfk4KALA72,Default Response Set,Anonymous,,,107.184.88.77,0,2020-12-16 17:34:42,2020-12-16 17:35:45,1,59ea635d24d7bf00012f139b,1,chevy,,mercedes,,,,dodge,toyota,volkswagen,,,chrysler,,ferrari,,lamborghini,dodge,nissan,,,,59ea635d24d7bf00012f139b,46,1,6,5,34.046997070312,-118.27500152588,-1,
R_poy8HKGUxAkYsRb,Default Response Set,Anonymous,,,99.130.112.252,0,2020-12-16 17:33:12,2020-12-16 17:36:18,1,5f504261fc46741bfbeb8240,1,,,,mazda,,,subaru,,ferrari,mazda,nothing,volkswagen,,,dodge,lamborghini,,subaru,ferrari,,,5f504261fc46741bfbeb8240,20,1,3,6,29.877197265625,-95.693801879883,-1,
R_3PbK9A0QWOeF6zI,Default Response Set,Anonymous,,,208.107.161.21,0,2020-12-16 17:35:10,2020-12-16 17:36:52,1,55b532b5fdf99b2b69c824f8,1,Dodge,Kia,AUdi,,,,Ford,Kia,Lexus,,Volt,,,,,Lambo,,a car,,,Mazda,55b532b5fdf99b2b69c824f8,37,1,4,9,47.919799804688,-97.074203491211,-1,
R_2SdaJcowXsoxMLU,Default Response Set,Anonymous,,,174.250.56.6,0,2020-12-16 17:37:14,2020-12-16 17:38:35,1,5fc59360dd66aa1178eb2abd,1,,,Mercedes,VW,,,,,Acura,,,,Toyata,Jaguar,Ford,Lamborghini,,Mitsubishi,Ferri,,VW,5fc59360dd66aa1178eb2abd,32,2,3,3,37.751007080078,-97.821998596191,-1,
R_PIdA2GelBnBy317,Default Response Set,Anonymous,,,68.60.10.193,0,2020-12-16 17:36:41,2020-12-16 17:39:35,1,5cdef5583f8060001709f7a8,1,Chevorly,Toyota,Mercedes,,,Chevy,,hyundai,BMW,,,,,ferrari,,,Volkwagen,,Ferrari,Volzwagen,,5cdef5583f8060001709f7a8,23,2,5,4,35.022705078125,-85.231796264648,-1,
R_1rigjwAk83B1Ori,Default Response Set,Anonymous,,,71.198.75.131,0,2020-12-16 17:37:58,2020-12-16 17:39:50,1,5e574f393e26c90f2b47b96c,1,Honda,Nissan,,Toyota,,Ford,,Ford,Toyota,Lamborghini,,,,,,,Subaru,,Mercedes-Benz,,Hyundai,5e574f393e26c90f2b47b96c,22,2,4,6,36.670394897461,-121.65919494629,-1,
R_3p5TueDOwX7ZzHt,Default Response Set,Anonymous,,,24.180.0.250,0,2020-12-16 17:38:37,2020-12-16 17:39:58,1,5b23fc6c5b5c0900018a64c1,1,chevy,,chevy,mazda,,chevy,ford,,,bmw,,,,,volvo,,honda,suburu,,,volkswagon,5b23fc6c5b5c0900018a64c1,24,2,5,4,35.261199951172,-120.6549987793,-1,
R_3qCl4gbdt6nnQLU,Default Response Set,Anonymous,,,73.230.28.18,0,2020-12-16 17:41:31,2020-12-16 17:42:47,1,5f78a9660c01564630e2c2c8,1,,,Classy,,,Cheap,,,Fast,,Pretentious ,Sturdy,,Sleek,,Fast,,,Expensive ,Unknown,Practical ,5f78a9660c01564630e2c2c8,30,2,4,5,39.885101318359,-76.718696594238,-1,
R_0oj1ZSfpRv8laDv,Default Response Set,Anonymous,,,75.177.103.231,0,2020-12-16 17:41:53,2020-12-16 17:43:10,1,5f59015306360f0de04eb809,1,,Kia,,,,,,Acura,,,,Ford,Toyota,,Volvo,,Infiniti,Honda,Ferrari,Mini,Volkswagen,5f59015306360f0de04eb809,26,1,5,3,36.500198364258,-80.616302490234,-1,
R_3KrSOwQRecsYb8i,Default Response Set,Anonymous,,,69.133.56.140,0,2020-12-16 17:41:05,2020-12-16 17:44:24,1,5fa87e9acb1c0a729aa67623,1,,,,Hyundai,,,Honda,Chevrolet,Lexus,,Porsche,Chevrolet,Audi,Tesla,,,Audi,,Ferrari,,,5fa87e9acb1c0a729aa67623,22,2,5,11,39.245407104492,-84.253700256348,-1,
R_3ekKc2RhG1Bz0ih,Default Response Set,Anonymous,,,152.13.60.205,0,2020-12-16 17:42:45,2020-12-16 17:44:58,1,5d952867d3918d001840c7c1,1,Chevrolet ,,Mercedes ,,Honda ,,,,,BMW,Hyundai ,Ford,,Mercedes,Tesla ,,,Ford Escape ,,,Mazda,5d952867d3918d001840c7c1,21,2,3,5,36.076507568359,-79.794700622559,-1,
R_3kMxgFq2Wxfa6rt,Default Response Set,Anonymous,,,74.110.213.87,0,2020-12-16 17:44:21,2020-12-16 17:45:50,1,5e36f65c239ceb675bc432de,1,junk,,,gay couples,off roading,breathing,,,Nissan,,,,luxury,,honda,fancy,toyota,,,,volkswagen,5e36f65c239ceb675bc432de,41,2,5,10,37.436492919922,-77.480697631836,-1,
R_bDYnOHlqOwTIwTf,Default Response Set,Anonymous,,,73.213.114.10,0,2020-12-16 17:42:44,2020-12-16 17:45:58,1,5d27db3d44cdee000184f4eb,1,,Kia,Mercedes,Toyota,Land Rover,,,Toyota,,,Nissan,Chevrolet,,,,Lamborghini,,Subaru,,,Volkswagen,5d27db3d44cdee000184f4eb,28,1,4,10,39.44270324707,-77.55419921875,-1,
R_0wTmm6MqZgK92Y9,Default Response Set,Anonymous,,,66.69.245.183,0,2020-12-16 17:44:53,2020-12-16 17:46:06,1,5d59d9884e2ab80001d1e126,1,,Honda,,,Chrysler,,Ford,,Porsche,BMW,Nio,Saturn,Acura,Audi,,,,,,Peugeot,,5d59d9884e2ab80001d1e126,24,1,5,5,30.174606323242,-97.820297241211,-1,
R_Uap0qDHJkZk6TDP,Default Response Set,Anonymous,,,64.121.65.66,0,2020-12-16 17:46:06,2020-12-16 17:46:52,1,5c7b27ff3576f70017c3daa5,1,American,,,Japanese,average,Reliable,,,German,,,,Safe,Racing,Buggy,High-end,,,,,Rare,5c7b27ff3576f70017c3daa5,28,1,5,8,40.595001220703,-75.528900146484,-1,
R_C3OVitNzAh0Pj5D,Default Response Set,Anonymous,,,100.11.179.199,0,2020-12-16 17:46:56,2020-12-16 17:48:30,1,5ceeea8de145930001ae52da,1,chevrolet,nissan,dodge,toyota,,suburu,ford,mazda,,,,bmw,,rolles,bmw,,,,,,,5ceeea8de145930001ae52da,22,1,5,5,39.485107421875,-75.679397583008,-1,
R_3vLBMe0s7Z0Nuql,Default Response Set,Anonymous,,,68.129.60.104,0,2020-12-16 17:47:35,2020-12-16 17:48:34,1,5b64c5662aee58000132e071,1,Chevrolet ,Honda,,,,,Ford,Hyundai,BMW,BMW,Nobody,,Acura,,,,Toyota,,,Alfa Romeo,,5b64c5662aee58000132e071,26,1,5,6,40.656402587891,-73.675399780273,-1,
R_2E0NWVtlYpOxcJN,Default Response Set,Anonymous,,,76.188.218.18,0,2020-12-16 17:48:55,2020-12-16 17:50:23,1,5d8e2ee5f567f3001e21c0e1,1,,,luxury vehicle,,,coupe,classic car,,luxury vehicle,,electric car,truck,,sports car,bug,,,compact vehicle,,,sedan,5d8e2ee5f567f3001e21c0e1,37,2,3,6,41.448104858398,-82.017700195312,-1,
R_3EFia59hJMTV4bO,Default Response Set,Anonymous,,,108.35.59.205,0,2020-12-16 17:47:58,2020-12-16 17:50:43,1,582c83a0bbb67e0001e49ec1,1,,,Mercedes Benz,toyota,,Nissan,,,BMW,,,Chrysler,BMW,Lotus,porsche,Lamborghini,,,,,General Motors,582c83a0bbb67e0001e49ec1,64,1,8,12,40.465194702148,-74.230697631836,-1,
R_2U0nLfMp9qLpIPu,Default Response Set,Anonymous,,,68.82.234.249,0,2020-12-16 17:50:14,2020-12-16 17:51:13,1,5f7f5891cfaf640dc650ddb3,1,chevy,foreign,audi,,,reliable,,,,,,ram,,luxury,bug,,ford,honda,,foreign,,5f7f5891cfaf640dc650ddb3,32,2,2,7,40.210403442383,-74.827796936035,-1,
R_DduqMix2qxt5roJ,Default Response Set,Anonymous,,,69.130.250.97,0,2020-12-16 17:50:15,2020-12-16 17:51:29,1,5bc0929b23d6170001b92120,1,,kia,,jeep,subaru,,,,bmw,audi,toyata,ford,,,audi,,mazda,,,honda,,5bc0929b23d6170001b92120,58,2,5,6,43.102996826172,-89.507301330566,-1,
R_0ihHhk9dgpGeqyZ,Default Response Set,Anonymous,,,67.205.254.62,0,2020-12-16 17:49:52,2020-12-16 17:51:50,1,5ab1a93cf69e940001d8ad86,1,dodge,,,,subaru,HYUNDAI,,,,lexus,,chevrolet,mercedes,masserati,fiat,,toyota,nissan,,,,5ab1a93cf69e940001d8ad86,45,1,6,12,25.813201904297,-80.18620300293,-1,
R_3HM7cOAAby05iSs,Default Response Set,Anonymous,,,73.73.8.201,0,2020-12-16 17:51:17,2020-12-16 17:52:08,1,5cc4a2b1fa22c500012f63b7,1,,,,,Dodge,Honda,,,Mercedes-Benz,,BMW,,,,Chevy,,Toyota,Nissan,Ferrari,Holden,Audi,5cc4a2b1fa22c500012f63b7,26,1,5,3,42.36669921875,-88.092498779297,-1,
R_2coNrsxJ9kpjJNe,Default Response Set,Anonymous,,,173.88.9.109,0,2020-12-16 17:51:09,2020-12-16 17:52:34,1,5ecf02f6b356493165f6c121,1,chevrolet,,,kia,,ford,ford,,bugatti,,,ram,mitsubishi,,,lamborghini,,,,,,5ecf02f6b356493165f6c121,22,1,4,2,40.766799926758,-84.099601745605,-1,
R_114rFoVz1jJt4wj,Default Response Set,Anonymous,,,98.114.172.182,0,2020-12-16 17:51:20,2020-12-16 17:54:16,1,5e1ba7e1085a1c3dd2db39fc,1,Dodge,Kia,,,Suburu,,,Ford,Nissan,,Jaguar,Chevrolet,,,,Porsche,,,Porsche,Alfa Romeo,,5e1ba7e1085a1c3dd2db39fc,28,2,5,4,40.180892944336,-75.215599060059,-1,
R_1qdLZIlLbFMfT21,Default Response Set,Anonymous,,,108.45.24.253,0,2020-12-16 17:51:57,2020-12-16 17:54:20,1,5d16b157b49a4a0016e8ab46,1,,Kia,,,,,Ford,,Lincoln,BMW,NIO,,,,,,Toyota,Hyundai,Ferrari,Mazerati,BMW,5d16b157b49a4a0016e8ab46,29,1,5,6,39.158493041992,-77.083702087402,-1,
R_2E6HOMAJlGzKtUw,Default Response Set,Anonymous,,,99.34.169.45,0,2020-12-16 17:53:25,2020-12-16 17:54:38,1,5d30e5f3e057f0001724501e,1,,Kia,,Jeep,,,,Toyota,,BMW,,Chevy,Infinity,,BMW,Maserati,Honda,,Ferrrari,,,5d30e5f3e057f0001724501e,45,2,3,8,38.572494506836,-121.47019958496,-1,
R_9HMO5yfGFO4gje1,Default Response Set,Anonymous,,,75.70.120.72,0,2020-12-16 17:52:26,2020-12-16 17:54:39,1,5f91bd84ed776e076cc20f28,1,,Honda ,,,Ford ,Chevrolet ,Jeep ,Hyundai ,,Lexus ,,,Mercedes-Benz ,,,,Honda ,,Aston-Martin ,Lamborghini ,,5f91bd84ed776e076cc20f28,18,1,3,5,39.903793334961,-104.94190216064,-1,
R_1jV4PjW9XlgQi6k,Default Response Set,Anonymous,,,108.237.183.66,0,2020-12-16 17:47:26,2020-12-16 17:54:47,1,5ecdc32a4990481488dd574d,1,,,Volks waggon ,Ford,Land Rover,,,,BMW,Buick,,,Christler ,Audi,,Lambragini ,Toyota ,,,,BMW,5ecdc32a4990481488dd574d,36,1,6,1,37.351196289062,-121.88459777832,-1,
R_2AZJXzTVFvgWXNf,Default Response Set,Anonymous,,,99.43.252.249,0,2020-12-16 17:53:06,2020-12-16 17:54:49,1,5c3d34e0e0ea820001460b7b,1,Chevy,Kia,Mercedes,Ford,,,,Ford,Kia,Lexus,,,,,Audi,Lamborghini,,,,,Kia,5c3d34e0e0ea820001460b7b,38,1,6,11,37.302795410156,-121.99819946289,-1,
R_2ta0xO6k3tNms4G,Default Response Set,Anonymous,,,136.50.20.246,0,2020-12-16 17:53:46,2020-12-16 17:55:21,1,5f90e6c12981092106297e24,1,Toyota,Honda,Lincoln ,,,,,,Lexus ,,Ferrari,,,Ferrari,,,Hyundai,Acura,,Chrysler,BMW,5f90e6c12981092106297e24,18,2,3,2,29.5,-98.67440032959,-1,
R_OKk5hwJ6D1ygdVL,Default Response Set,Anonymous,,,47.24.3.175,0,2020-12-16 17:52:41,2020-12-16 17:55:38,1,5970ce4e5fa69e0001fc7381,1,,A reliable car,,A family car,,A basic car,,A common car,A somewhat luxury car,,the future,A car brand that most westerners know about,,A luxury brand,,,A regular car,A somewhat less common car brand,,,,5970ce4e5fa69e0001fc7381,26,2,4,4,30.187698364258,-95.428802490234,-1,
R_PBAPdAbfmk9oB2h,Default Response Set,Anonymous,,,73.82.247.176,0,2020-12-16 17:52:55,2020-12-16 17:56:16,1,5e04f4bbafb8b0f605589b35,1,,Kia,,Volkswagon,,Honda,,,Volvo,,,Mitsubishi,,,Subaru,Lamborghini,,,Ferrari,Subaru,Voltswagon,5e04f4bbafb8b0f605589b35,42,2,5,9,33.877502441406,-84.50170135498,-1,
R_Xj5ZQI9UnSIeCLD,Default Response Set,Anonymous,,,47.39.167.89,0,2020-12-16 17:55:06,2020-12-16 17:56:19,1,5d1d6bc2f4f472001a36fc1c,1,work,,,,,,standard,,fast,expensive,,Ford,expensive,Luxury,German,fast,,,,,good,5d1d6bc2f4f472001a36fc1c,28,2,5,4,34.354293823242,-83.889801025391,-1,
R_2wsfI2EA7TtMyTV,Default Response Set,Anonymous,,,151.205.99.55,0,2020-12-16 17:50:36,2020-12-16 17:57:11,1,5f2c4d9ec221140edf238051,1,Honda,,,,Ford,,Cadillac ,,,,Hyundai ,,,BMW,BMW,Mercedes,Toyota,Honda,,,Audi,5f2c4d9ec221140edf238051,19,2,3,3,40.644607543945,-73.974296569824,-1,
R_1NlTMVjnbKSUwth,Default Response Set,Anonymous,,,70.174.29.232,0,2020-12-16 17:56:34,2020-12-16 17:57:51,1,5dcf33e0961cb308755ac95b,1,,Honda,,Jeep,Subaru ,,,,Lexus,,Mercedes,,,Jaguar,Subaru,,Kia,Toyota,Aston Martin,,,5dcf33e0961cb308755ac95b,34,2,6,11,36.828201293945,-76.023696899414,-1,
R_1ODFYZ4MV6qZ0RB,Default Response Set,Anonymous,,,98.192.47.40,0,2020-12-16 17:54:55,2020-12-16 17:57:56,1,5f78dc19c0ca6c1197e189ab,1,chevy,,voltswagon ,,land rover,,Ford,,,,None,,,BMW,,lamborgini,renault,,ferrari,,none,5f78dc19c0ca6c1197e189ab,23,1,3,3,34.182495117188,-84.824699401855,-1,
R_Bs53wDJLXAnTCmd,Default Response Set,Anonymous,,,108.5.240.219,0,2020-12-16 17:57:02,2020-12-16 17:58:03,1,5c82a8cdfff8430015e9942f,1,Chevrolet,Kia,,,,Honda,Ford,Toyota,Infiniti,Lexus,an electric provider,Jeep,,,,,,,Porsche,,,5c82a8cdfff8430015e9942f,33,1,5,12,40.934997558594,-74.117599487305,-1,
R_AcgO3ybHIHeUi7T,Default Response Set,Anonymous,,,68.7.54.15,0,2020-12-16 17:57:23,2020-12-16 17:58:29,1,5c7a24f9e8df4d00160c5fad,1,america factory,,,foreign car,,average american,american trucks,lasting car,,fast,,trucks,luxury,,,italian,,,expensive,,,5c7a24f9e8df4d00160c5fad,29,1,5,6,33.056198120117,-117.26879882812,-1,
R_2X0tlpljfIkSOfu,Default Response Set,Anonymous,,,71.188.78.226,0,2020-12-16 17:56:49,2020-12-16 17:58:35,1,5f9712fcce960e085a40cffa,1,,,santa's sleigh,,hummer,,soccer mom's car,,,,electricity ,,high-end clothes,,classic cars,horse,,average car,private jet,,powerful engine,5f9712fcce960e085a40cffa,20,2,3,12,40.266006469727,-74.521697998047,-1,
R_z8ZScW5xt4LiXAJ,Default Response Set,Anonymous,,,67.181.8.142,0,2020-12-16 17:57:42,2020-12-16 17:58:59,1,5ea95f161eb4f004953f5850,1,truck,,volkswagen,,off road,,big truck,civic,bmw,,fast,ram,,fast,bug,,,,,,,5ea95f161eb4f004953f5850,24,1,3,8,37.697601318359,-121.03689575195,-1,
R_3s48ugq2Cgvl3Yx,Default Response Set,Anonymous,,,98.235.164.17,0,2020-12-16 17:58:01,2020-12-16 17:59:26,1,5f2e53726e24671b645021ca,1,American,cheap,,4 wheel drive,off road,,,Japanese I think,Snobs,,electric,,luxury car,Way too expensive,,sports car,,,,,,5f2e53726e24671b645021ca,31,2,5,5,40.795700073242,-77.861801147461,-1,
R_XpoOUZsmguj8AE1,Default Response Set,Anonymous,,,98.145.134.69,0,2020-12-16 17:58:40,2020-12-16 17:59:55,1,5d9c1f29be25410017efa0f8,1,Gasoline,Round,Luxury,Marshmellow,,,Ram,Family,Flat,,Technology,Red,Money,,,,,,,,,5d9c1f29be25410017efa0f8,28,3,3,1,46.731399536133,-117.17330169678,-1,
R_28YscTsdBub1XFs,Default Response Set,Anonymous,,,172.118.226.21,0,2020-12-16 17:58:42,2020-12-16 18:00:10,1,5ef9e7be160c9b0644b9a455,1,,Honda,,Saab,,Honda,,Toyota,Saab,Lexus,,,Jaguar,Ferrari,bmw,,,,,,Buick,5ef9e7be160c9b0644b9a455,27,1,2,1,33.989303588867,-118.0890045166,-1,
R_3oC5lADAThdvGLk,Default Response Set,Anonymous,,,76.167.212.213,0,2020-12-16 17:59:08,2020-12-16 18:00:50,1,55cf7bb234e9060012e56e7b,1,,Premium Korean,yuppies,snowy weather,off roader,,,,,,,,,sporty,people's car,,almost dead,zoom zoom,,French,Safety,55cf7bb234e9060012e56e7b,42,1,5,8,32.859497070312,-117.21240234375,-1,
R_BKyrVlzRaUiXfZD,Default Response Set,Anonymous,,,73.137.138.145,0,2020-12-16 17:59:07,2020-12-16 18:01:05,1,5d2a5702e1258100019604ed,1,Chevrolet,Kia,,Volvo,,,Dodge,,Infiniti,Lincoln,,Chevrolet,Toyota,Ferrari,,,Honda,,,,,5d2a5702e1258100019604ed,40,2,4,11,33.991592407227,-83.890098571777,-1,
R_AEXleT0d5Vyg9gJ,Default Response Set,Anonymous,,,67.171.54.92,0,2020-12-16 17:47:25,2020-12-16 18:01:10,1,5cc0aa9ee7ae420015d594e8,1,"perceived as a stalwart American brand, by some, and named after famous industrialist. The brand has taken a hit on quality in the last few decades but some models have good ratings and trucks are perceived as quality (and expensive) by some. Partners with Mazda but keeps it low-key. ","an economy class contender to American and Japanese established brands. Known for a wide array of vehicles, some with better quality ratings than others. ",,"touring, off-road, snow, and ""vanity"" vehicles for people who like to be perceived as outdoorsy. Sometime perceived as dependable but plagued at times with quality issues.","AMC utility and touring vehicles, sometimes with converible tops. The name implies fun, military, safari, etc.",,"One of GMs most famous lines, made famous in songs. Dealt with many quality issues, as many Detroit companies have, but trying to rebrand and offer alternatives.",,"a status line of vehicles, with family and sports cars. Sometimes plagued with quaity issues but often presented as the white collar professional's status vehicle.",,,,,"perceived as a luxury, racing-style vehicle with a wide range of models, some easier to drive than others. Often associated with being single or newly divorced.",,,,"primarily a line of Japanese coupes and similar vehicles, known for gasoline economy and sometimes postivie quality reviews. Partners with Ford.",luxuri sports vehicles often associated with racing but also available to gullible consumers.,multinatonal line of cars that originated in France and named after a French industrialist. Not necessarily known for quality but is a mid-rate status symbol in some circles.,,5cc0aa9ee7ae420015d594e8,58,2,5,9,47.678405761719,-122.18569946289,-1,
R_33sCcF9G3t0zOY4,Default Response Set,Anonymous,,,50.113.81.3,0,2020-12-16 18:00:43,2020-12-16 18:01:29,1,5e75686e5312ee0dab42c6df,1,,I don't know,I don't know,I don't know,,,,I don't know,,,I don't know,I don't know,I don't know,,I don't know,,,I don't know,,I don't know,,5e75686e5312ee0dab42c6df,22,2,5,11,33.092407226562,-117.26240539551,-1,
R_XiXwnxZDLlZ8igp,Default Response Set,Anonymous,,,161.130.143.106,0,2020-12-16 18:00:25,2020-12-16 18:01:41,1,5fa8da33c7916b7c99f6bbff,1,,a car,,a car,,,,a car,a car,,,a car,a car,,a car,a car,a car,,,,a car,5fa8da33c7916b7c99f6bbff,19,1,2,1,38.936096191406,-92.305603027344,-1,
R_3JIdYAQCJ7rxHsq,Default Response Set,Anonymous,,,107.77.198.196,0,2020-12-16 18:00:56,2020-12-16 18:02:18,1,5e9df5613feed4185ba408d2,1,Toyota,Honda,Mercedes benz,,Range rover ,Ford ,,,Bmw,,,Chevy,,Audi,Volvo,,,,Ferrari ,,,5e9df5613feed4185ba408d2,26,1,5,11,32.830993652344,-96.769203186035,-1,
R_9WuJqGzF4BIWbuN,Default Response Set,Anonymous,,,99.41.48.40,0,2020-12-16 18:00:56,2020-12-16 18:02:57,1,5f75272933882a19e7dfce01,1,chevy,Kia,,jeep,,Honda,ford,,,,,Ram,Toyota,,Ford,Lamborghini,,,Ferrari,,,5f75272933882a19e7dfce01,26,1,5,4,35.487503051758,-80.987602233887,-1,
R_cD84d3THoEXCYiB,Default Response Set,Anonymous,,,71.115.5.45,0,2020-12-16 18:01:35,2020-12-16 18:03:12,1,5ee19419a301131e862a5a06,1,mazda,honda,audi,,dodge,dodge,,toyota,bmw,,,,bmw,,,,,ford,,fiat,,5ee19419a301131e862a5a06,27,2,3,5,37.339202880859,-77.417503356934,-1,
R_ZL76MVewnwIShqh,Default Response Set,Anonymous,,,73.240.191.157,0,2020-12-16 18:00:51,2020-12-16 18:03:22,1,5ebdb4d3a814380d7781fbbe,1,Dodge,,Audi,Mazda ,,Honda,,,,Audi,,Ford,,,Scooby Doo van,,Honda,,,Peugeot,VW,5ebdb4d3a814380d7781fbbe,53,2,6,12,45.637802124023,-122.52389526367,-1,
